Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Proposed In-Service Date,Proposed Initial-Sync Date,Last Updated Date,Z,S,Availability of Studies,SGIA Tender Date
1280,NY Renewable Connect - Core 3,"NextEra Energy Transmission NY, Inc","Nassau, Suffolk, Westchester",NY,"East Garden City, Ruland Road, Sprain Brook, Dunwoodie, Jamaica, Valley Stream, Farragut, Northport, Pilgrim","ConEd, LIPA",AC Transmission,0.0,,,2021-10-10,Withdrawn,,2023-10-31 00:00:00,,,,,,"I,J,K",0.0,,
1281,NY Renewable Connect - Core 4,"NextEra Energy Transmission NY, Inc","Nassau, Suffolk, Westchester",NY,"East Garden City, Ruland Road, Sprain Brook, Dunwoodie, Jamaica, Valley Stream, Farragut, Northport, Pilgrim","ConEd, LIPA",AC Transmission,0.0,,,2021-10-10,Withdrawn,,2023-10-31 00:00:00,,,,,,"I,J,K",0.0,,
1282,NY Renewable Connect - Core 5,"NextEra Energy Transmission NY, Inc","Nassau, Suffolk, Westchester",NY,"East Garden City, Ruland Road, Sprain Brook, Dunwoodie, Jamaica, Valley Stream, Northport","ConEd, LIPA",AC Transmission,0.0,,,2021-10-10,Withdrawn,,2023-10-31 00:00:00,,,,,,"I,J,K",0.0,,
1283,NY Renewable Connect - Core 6,"NextEra Energy Transmission NY, Inc","Nassau, Queens, Suffolk, Westchester",NY,"East Garden City, Ruland Road, Sprain Brook, Dunwoodie, Jamaica, Valley Stream, Northport, Pilgrim","ConEd, LIPA",AC Transmission,0.0,,,2021-10-10,Withdrawn,,2023-10-31 00:00:00,,,,,,"I,J,K",0.0,,
1284,NY Renewable Connect - Core 7,"NextEra Energy Transmission NY, Inc","Nassau, Suffolk, Westchester",NY,"East Garden City, Ruland Road, Sprain Brook, Dunwoodie, Jamaica, Valley Stream, Northport, Pilgrim, Buchanan","ConEd, LIPA",AC Transmission,0.0,,,2021-10-10,Withdrawn,,2023-10-31 00:00:00,,,,,,"H,I,J,K",0.0,,
1285,NY Renewable Connect - Enhanced 1,"NextEra Energy Transmission NY, Inc","Nassau, Suffolk, Westchester",NY,"East Garden City, Ruland Road, Sprain Brook, Dunwoodie, Farragut, Holbrook, Jamaica, Valley Stream, Northport, Pilgrim, Buchanan, Barrett","ConEd, LIPA",AC Transmission,0.0,,,2021-10-10,Withdrawn,,2023-10-31 00:00:00,,,,,,"H,I,J,K",0.0,,
1286,NY Renewable Connect - Enhanced 2,"NextEra Energy Transmission NY, Inc","Nassau, Suffolk, Westchester",NY,"East Garden City, Ruland Road, Sprain Brook, Dunwoodie, Farragut, Holbrook, Jamaica, Valley Stream, Northport, Pilgrim, Buchanan, Ramapo","O&R, ConEd, LIPA",AC Transmission,0.0,,,2021-10-10,Withdrawn,,2023-10-31 00:00:00,,,,,,"G,H,I,J,K",0.0,,
1287,NY Renewable Connect - Plus 3,"NextEra Energy Transmission NY, Inc","Nassau, Suffolk, Westchester",NY,"East Garden City, Ruland Road, Sprain Brook, Dunwoodie, Jamaica, Valley Stream, Northport, Pilgrim","ConEd, LIPA",AC Transmission,0.0,,,2021-10-10,Withdrawn,,2023-10-31 00:00:00,,,,,,"I,J,K",0.0,,
1288,CPNY-X,Clean Path New York LLC,"Delaware, Queens",NY,Fraser 345 kV and Rainey 345 kV substations,"NYSEG, ConEd",DC Transmission,0.0,,,2021-11-23,Withdrawn,,2025-10-31 00:00:00,,,,,,"E,J",0.0,,
1290,Propel NY Energy ? Alternate Solution 6,NY Power Authority / NY Transco LLC.,"Nassau, Queens, Bronx, Westchester",NY,Sprain Brook 345 kV; Dunwoodie 345 kV; Tremont 345 kV; East Garden City 345 kV; Barrett 138 kV; East Garden City 138 kV; Shore Road 138 kV; Syosset 138 kV; Ruland Rd 138 kV,"LIPA, ConEd, NYPA",AC Transmission,0.0,,,2021-10-11,Withdrawn,,2023-07-31 00:00:00,,,,,,I; J; K,0.0,,
1291,Propel NY Energy ? Alternate Solution 7,NY Power Authority / NY Transco LLC.,"Nassau, Queens, Bronx, Westchester",NY,Sprain Brook 345 kV; Dunwoodie 345 kV; Tremont 345 kV; Barrett 138 kV; Shore Road 138 kV; Syosset 138 kV; Ruland Rd 138 kV; Northport 138 kV,"ConEd, LIPA",DC Transmission,0.0,,,2021-10-11,Withdrawn,,2023-07-31 00:00:00,,,,,,I; J; K,0.0,,
1292,Hemlock Hollow Wind,Liberty Renewables Inc.,Cattaraugus,NY,Homer Hill - Dugan Rd 115kV,NM-NG,Wind,87.9,87.9,87.9,2021-10-20,Withdrawn,,2024-07-31 00:00:00,,,,,,A,0.0,,
1293,White Springs Solar,ACE DevCo NC,Ontario,NY,Haley Road 34.5 kV Substation,NYSEG,Solar,20.0,20,20,2021-10-22,Withdrawn,,2023-08-31 00:00:00,,,,,,,0.0,,
1294,Moran Solar,ACE DevCo NC,Fulton,NY,Inghams - Stoner 115 kV,NM-NG,Solar,20.0,20,20,2021-10-22,Withdrawn,,2024-02-29 00:00:00,,,,,,F,0.0,,
1295,Putnam Mountain Solar,"Galehead Development, LLC",Washington,NY,Whitehall - Cedar 115 kV ,NM-NG,Solar,40.0,40,40,2021-10-26,Withdrawn,,2022-11-30 00:00:00,,,,,,F,0.0,,
1296,90662 Sing Sing Standalone Storage,Nexamp Solar,Chemung,NY,,ConEd,Energy Storage,20.0,20,20,2021-10-28,Withdrawn,,2021-11-30 00:00:00,,,,,,J,0.0,,
1297,Deerpark Energy Storage,"Algonquin Power Fund (America), Inc.",Orange,NY,Cuddebackville substation,O&R,Energy Storage,20.0,20,20,2021-10-29,Withdrawn,,2022-01-31 00:00:00,,,,,,G,0.0,,
1298,87677 Clifton Springs Standalone Storage,Nexamp Solar,Ontario,NY,,ConEd,Energy Storage,20.0,20,20,2021-10-29,Withdrawn,,2021-11-30 00:00:00,,,,,,J,0.0,,
